word	[etymology]
factions	['Old French', 'Latin', 'PIE']
law	['Old English', 'Old Norse', 'Proto-Germanic', 'PIE']
crime	['Old French', 'Latin']
revealing	['Old French', 'Latin']
brothers	['Old English', 'Proto-Germanic', 'PIE']
they	['Old English', 'Proto-Germanic', 'PIE']
jewish	['Old English Wielisc', 'Wealh', 'Proto-Germanic', 'Jew']
grandmothers	['Old French', 'Late Latin', 'Latin', 'Latin', 'French']
lesbians	['Latin Lesbius', 'Greek']
but	['Old French', 'Latin', 'Old English', 'West Germanic']
neglecting	['Latin', 'Old Latin', 'PIE']
work	['Old English', 'Proto-Germanic', 'PIE']
carping	['Old French', 'Vulgar Latin', 'Old Norse']
at	['Old English', 'Proto-Germanic', 'PIE']
badly	['Old English', 'Proto-Germanic', 'PIE']
toward	['Old English', 'Old Norse', 'Proto-Germanic', 'PIE', 'Anglo-French', 'Middle English', 'West Germanic']
loyal	['Old French', 'Latin', 'PIE', 'Middle French']
friend	['Old English', 'Proto-Germanic', 'PIE']
all	['Old English', 'Proto-Germanic']
going	['Old English', 'West Germanic', 'PIE']
estranged	['Old French', 'Latin', 'Middle French', 'Vulgar Latin']
wife	['Middle English', 'Old English', 'Proto-Germanic']
margaret	['Old French Margaret', 'Late Latin Margarita', 'Greek', 'Greek']
daughter	['Old English', 'Proto-Germanic', 'PIE']
safety	['Old French', 'Medieval Latin', 'Latin']
finds	['Old English', 'Proto-Germanic']
herself	['Old English', 'Proto-Germanic']
another	['Old English', 'Proto-Germanic']
target	['Old French', 'Frankish', 'Proto-Germanic']
race	['Old Norse', 'Proto-Germanic', 'Middle French', 'Italian']
find	['Old English', 'Proto-Germanic']
code	['Old French', 'Latin']
feels	['Old English', 'Proto-Germanic', 'PIE']
heat	['Old English', 'Proto-Germanic']
turns	['Anglo-French', 'Latin', 'Old French', 'Greek', 'PIE']
table	['Old French', 'Germanic', 'Latin']
makes	['Old English', 'Proto-Germanic', 'PIE', 'West Germanic']
dupe	['French', 'Middle French']
into	['Old Norse', 'Proto-Germanic', 'PIE', 'Old English']
one	['Old English', 'Proto-Germanic', 'PIE']
own	['Old English', 'Proto-Germanic', 'PIE']
nose	['Old English', 'Proto-Germanic', 'PIE']
beautiful	['Anglo-French', 'Vulgar Latin', 'Latin', 'PIE']
exotic	['Middle French', 'Latin', 'Greek']
mysterious	['Old French', 'Latin', 'Medieval Latin', 'Late Latin']
city	['Old French', 'Latin', 'PIE']
caught	['Greek', 'PIE', 'Old English', 'Proto-Germanic']
vietnamese	['Vietnamese Viet', 'Vietnam']
war	['Old North French', 'Frankish', 'Proto-Germanic', 'PIE']
